file,algo,outage,alpha,iter,t_attack,evict_ms,decay1_ms,min_trust,steps,period_ms,n_steps,attack_flag_ms
trial_ECC_outage2000_ewma5_iter3_1786049596.csv,ECC,2000,0.5,3,1786049622.8405118,333.90307426452637,214.0791416168213,0.0,50 25 12.5 3.12 1.56 0.78 0.2 0.1 0.05 0.02 0.01 0,165.43102264404297,12,63333.90235900879
trial_ECC_outage2000_ewma5_iter4_1786049793.csv,ECC,2000,0.5,4,1786049819.2950833,321.77114486694336,201.60889625549316,0.0,50 25 12.5 6.25 3.12 0.78 0.39 0.2 0.05 0.02 0.01 0,154.55612269314852,12,63341.632604599
trial_ECC_outage2000_ewma5_iter5_1786057211.csv,ECC,2000,0.5,5,1786057237.7182093,336.09509468078613,336.09509468078613,0.0,25 12.5 6.25 3.12 1.56 0.78 0.39 0.1 0.05 0.01 0,157.9967975616455,11,63315.98520278931
trial_ECC_outage2000_ewma7_iter1_1786049400.csv,ECC,2000,0.7,1,1786049425.0820885,199.68914985656738,199.68914985656738,0.0,30 9 2.7 0.24 0.07 0.01 0,163.33540280659994,7,63319.56171989441
trial_ECC_outage2000_ewma7_iter2_1786049990.csv,ECC,2000,0.7,2,1786050015.0595047,210.93368530273438,210.93368530273438,0.0,30 9 2.7 0.81 0.07 0.02 0.01 0,157.13708741324288,8,63290.9255027771
trial_ECC_outage2000_ewma7_iter3_1786050873.csv,ECC,2000,0.7,3,1786050898.9234495,358.52742195129395,358.52742195129395,0.0,9 2.7 0.81 0.07 0.02 0.01 0,139.98150825500488,7,63278.43379974365
trial_ECC_outage2000_ewma7_iter4_1786051368.csv,ECC,2000,0.7,4,1786051393.3991578,337.85390853881836,337.85390853881836,0.0,9 2.7 0.81 0.07 0.02 0.01 0,163.10322284698486,7,63316.489696502686
trial_ECC_outage2000_ewma7_iter5_1786058719.csv,ECC,2000,0.7,5,1786058744.639429,169.38304901123047,169.38304901123047,0.0,30 9 2.7 0.81 0.07 0.02 0,163.11506430308023,7,63329.272747039795
trial_ECC_outage2000_ewma9_iter1_1786053306.csv,ECC,2000,0.9,1,1786053331.8039339,158.9806079864502,158.9806079864502,0.0,10 1 0.1 0,166.53784116109213,4,63298.452377319336
trial_ECC_outage2000_ewma9_iter2_1786060846.csv,ECC,2000,0.9,2,1786060871.56219,234.77411270141602,234.77411270141602,0.0,10 1 0.01 0,166.71172777811685,4,63294.90685462952
trial_ECC_outage2000_ewma9_iter3_1786052778.csv,ECC,2000,0.9,3,1786052806.128972,196.81787490844727,196.81787490844727,0.0,10 0.1 0,240.0292158126831,3,63316.771030426025
trial_ECC_outage2000_ewma9_iter4_1786055567.csv,ECC,2000,0.9,4,1786055594.3836527,263.41986656188965,263.41986656188965,0.0,10 1 0.01 0,166.64322217305502,4,63283.271074295044
trial_ECC_outage2000_ewma9_iter5_1786059209.csv,ECC,2000,0.9,5,1786059234.7594762,263.28372955322266,263.28372955322266,0.0,10 1 0.1 0.01 0,150.01201629638672,5,63303.44271659851
