timestamp,node,algorithm,cycle,exec_time_ms,trust_score
1786388954.572256,CRYPTO_NODE,ECC,47,111.51,100.0
1786388954.693971,CRYPTO_NODE,ECC,48,111.52,100.0
1786388954.8157177,CRYPTO_NODE,ECC,49,111.57,100.0
1786388954.9377892,CRYPTO_NODE,ECC,50,111.58,100.0
1786388955.0608144,CRYPTO_NODE,ECC,51,111.62,100.0
1786388955.181962,CRYPTO_NODE,ECC,52,111.53,100.0
1786388955.303158,CRYPTO_NODE,ECC,53,111.46,100.0
1786388955.4247158,CRYPTO_NODE,ECC,54,111.46,100.0
1786388955.545276,CRYPTO_NODE,ECC,55,111.51,100.0
1786388955.6669073,CRYPTO_NODE,ECC,56,111.5,100.0
1786388955.8781106,CRYPTO_NODE,ECC,57,111.54,100.0
1786388955.9855735,CRYPTO_NODE,ECC,58,111.58,100.0
1786388956.0923028,CRYPTO_NODE,ECC,59,111.55,100.0
1786388956.1985729,CRYPTO_NODE,ECC,60,111.7,100.0
1786388956.3055434,CRYPTO_NODE,ECC,61,111.47,100.0
1786388956.412108,CRYPTO_NODE,ECC,62,111.61,100.0
1786388956.5196466,CRYPTO_NODE,ECC,63,111.47,100.0
1786388956.640689,CRYPTO_NODE,ECC,64,111.61,100.0
1786388956.8536777,CRYPTO_NODE,ECC,65,111.43,100.0
1786388956.9610517,CRYPTO_NODE,ECC,66,111.64,100.0
1786388957.0694454,CRYPTO_NODE,ECC,67,111.65,100.0
1786388957.1760025,CRYPTO_NODE,ECC,68,111.61,100.0
1786388957.2829168,CRYPTO_NODE,ECC,69,111.45,100.0
1786388957.3897302,CRYPTO_NODE,ECC,70,111.62,100.0
1786388957.4973416,CRYPTO_NODE,ECC,71,111.7,100.0
1786388957.615032,CRYPTO_NODE,ECC,72,111.49,100.0
1786388957.736907,CRYPTO_NODE,ECC,73,111.5,100.0
1786388957.8576944,CRYPTO_NODE,ECC,74,111.41,100.0
1786388957.9796824,CRYPTO_NODE,ECC,75,111.38,100.0
1786388958.1007566,CRYPTO_NODE,ECC,76,111.47,100.0
1786388958.2210388,CRYPTO_NODE,ECC,77,111.65,100.0
1786388958.3438313,CRYPTO_NODE,ECC,78,111.56,100.0
1786388958.4657307,CRYPTO_NODE,ECC,79,111.59,100.0
1786388958.5869832,CRYPTO_NODE,ECC,80,111.58,100.0
1786388961.711402,CRYPTO_NODE,ECC,81,111.57,100.0
1786388969.7406526,CRYPTO_NODE,ZKP,0,334.87,100.0
1786388969.747395,CRYPTO_NODE,ZKP,1,334.87,100.0
1786388969.7529101,CRYPTO_NODE,ZKP,2,334.54,100.0
1786388969.7585,CRYPTO_NODE,ZKP,3,334.47,100.0
1786388969.7641127,CRYPTO_NODE,ZKP,4,334.72,100.0
1786388969.7696497,CRYPTO_NODE,ZKP,5,334.99,100.0
1786388969.7753348,CRYPTO_NODE,ZKP,6,334.47,100.0
1786388969.8830483,CRYPTO_NODE,ZKP,7,334.43,100.0
1786388969.990279,CRYPTO_NODE,ZKP,8,334.7,100.0
1786388970.1512551,CRYPTO_NODE,ZKP,9,334.76,100.0
1786388970.4946342,CRYPTO_NODE,ZKP,10,334.7,100.0
1786388970.8358507,CRYPTO_NODE,ZKP,11,334.67,100.0
1786388971.1803086,CRYPTO_NODE,ZKP,12,334.36,100.0
1786388971.522593,CRYPTO_NODE,ZKP,13,334.34,100.0
1786388971.8647292,CRYPTO_NODE,ZKP,14,334.35,100.0
1786388972.0738368,CRYPTO_NODE,ECC,0,111.67,100.0
1786388972.1806087,CRYPTO_NODE,ECC,1,111.49,100.0
1786388972.2874372,CRYPTO_NODE,ECC,2,111.65,100.0
1786388972.3948355,CRYPTO_NODE,ECC,3,111.68,100.0
1786388972.5022933,CRYPTO_NODE,ECC,4,111.5,100.0
1786388972.6089747,CRYPTO_NODE,ECC,5,111.61,100.0
1786388972.7198377,CRYPTO_NODE,ECC,6,111.5,100.0
1786388972.8409646,CRYPTO_NODE,ECC,7,111.57,100.0
1786388972.9652002,CRYPTO_NODE,ECC,8,111.63,100.0
1786388973.0869823,CRYPTO_NODE,ECC,9,111.54,100.0
1786388973.2093942,CRYPTO_NODE,ECC,10,111.47,100.0
1786388973.329305,CRYPTO_NODE,ECC,11,111.57,100.0
1786388973.4496055,CRYPTO_NODE,ECC,12,111.57,100.0
1786388973.5730443,CRYPTO_NODE,ECC,13,111.59,100.0
1786388973.6954236,CRYPTO_NODE,ECC,14,111.7,100.0
1786388973.8171623,CRYPTO_NODE,ECC,15,111.52,100.0
1786388974.027935,CRYPTO_NODE,ECC,16,111.59,100.0
1786388974.1345751,CRYPTO_NODE,ECC,17,111.66,100.0
1786388974.2417915,CRYPTO_NODE,ECC,18,111.64,100.0
1786388974.3486867,CRYPTO_NODE,ECC,19,111.67,100.0
1786388974.4540272,CRYPTO_NODE,ECC,20,111.55,100.0
1786388974.5613108,CRYPTO_NODE,ECC,21,111.46,100.0
1786388974.6697648,CRYPTO_NODE,ECC,22,111.44,100.0
1786388974.7923243,CRYPTO_NODE,ECC,23,111.69,100.0
1786388975.012287,CRYPTO_NODE,ECC,24,111.51,100.0
1786388975.1196046,CRYPTO_NODE,ECC,25,111.55,100.0
1786388975.2271054,CRYPTO_NODE,ECC,26,111.59,100.0
