timestamp,node,algorithm,cycle,exec_time_ms,trust_score
1786388671.7510748,CRYPTO_NODE,ECC,22,111.52,100.0
1786388671.8711164,CRYPTO_NODE,ECC,23,111.59,100.0
1786388672.0888708,CRYPTO_NODE,ECC,24,111.48,100.0
1786388672.1965063,CRYPTO_NODE,ECC,25,111.63,100.0
1786388672.3043277,CRYPTO_NODE,ECC,26,111.5,100.0
1786388672.4114673,CRYPTO_NODE,ECC,27,111.66,100.0
1786388672.5189154,CRYPTO_NODE,ECC,28,111.54,100.0
1786388672.6263459,CRYPTO_NODE,ECC,29,111.56,100.0
1786388672.733056,CRYPTO_NODE,ECC,30,111.47,100.0
1786388672.8475525,CRYPTO_NODE,ECC,31,111.53,100.0
1786388673.0607874,CRYPTO_NODE,ECC,32,111.47,100.0
1786388673.167298,CRYPTO_NODE,ECC,33,111.52,100.0
1786388673.273235,CRYPTO_NODE,ECC,34,111.66,100.0
1786388673.379807,CRYPTO_NODE,ECC,35,111.52,100.0
1786388673.4879534,CRYPTO_NODE,ECC,36,111.56,100.0
1786388673.59444,CRYPTO_NODE,ECC,37,111.37,100.0
1786388673.7018611,CRYPTO_NODE,ECC,38,111.6,100.0
1786388673.8220775,CRYPTO_NODE,ECC,39,111.43,100.0
1786388673.943351,CRYPTO_NODE,ECC,40,111.51,100.0
1786388674.0643454,CRYPTO_NODE,ECC,41,111.49,100.0
1786388674.187221,CRYPTO_NODE,ECC,42,111.7,100.0
1786388674.3093584,CRYPTO_NODE,ECC,43,111.54,100.0
1786388674.4313002,CRYPTO_NODE,ECC,44,111.51,100.0
1786388674.5533855,CRYPTO_NODE,ECC,45,111.4,100.0
1786388674.6742764,CRYPTO_NODE,ECC,46,111.59,100.0
1786388674.7973638,CRYPTO_NODE,ECC,47,111.54,100.0
1786388674.9175084,CRYPTO_NODE,ECC,48,111.51,100.0
1786388675.0396786,CRYPTO_NODE,ECC,49,111.55,100.0
1786388675.1629105,CRYPTO_NODE,ECC,50,111.48,100.0
1786388675.284522,CRYPTO_NODE,ECC,51,111.48,100.0
