timestamp,trial_num,algorithm,cycle,exec_time_ms,trust_score
1786387327.7549431,2,ECC,24,111.21,100.0
1786387327.87663,2,ECC,25,111.16,100.0
1786387327.996921,2,ECC,26,111.35,100.0
1786387328.1184986,2,ECC,27,111.2,100.0
1786387328.239752,2,ECC,28,111.23,100.0
1786387328.3601067,2,ECC,29,111.18,100.0
1786387328.4811492,2,ECC,30,111.24,100.0
1786387328.6028547,2,ECC,31,111.21,100.0
1786387328.7227716,2,ECC,32,111.12,100.0
1786387328.8448102,2,ECC,33,111.1,100.0
1786387328.965675,2,ECC,34,111.25,100.0
1786387329.086883,2,ECC,35,111.17,100.0
1786387329.2081542,2,ECC,36,111.29,100.0
1786387329.329612,2,ECC,37,111.1,100.0
1786387329.4488225,2,ECC,38,111.11,100.0
1786387329.5698078,2,ECC,39,111.27,100.0
1786387329.6910756,2,ECC,40,111.29,100.0
1786387329.812425,2,ECC,41,111.11,100.0
1786387329.933723,2,ECC,42,111.35,100.0
1786387330.053796,2,ECC,43,111.23,100.0
1786387330.175928,2,ECC,44,111.22,100.0
1786387330.2966669,2,ECC,45,111.14,100.0
1786387330.4168627,2,ECC,46,111.2,100.0
1786387330.538763,2,ECC,47,111.13,100.0
1786387330.6596332,2,ECC,48,111.02,100.0
1786387330.78053,2,ECC,49,111.14,100.0
1786387360.2670913,3,ZKP,0,333.77,100.0
1786387360.2715895,3,ZKP,1,333.62,100.0
1786387360.2758338,3,ZKP,2,333.65,100.0
1786387360.2793472,3,ZKP,3,333.58,100.0
1786387360.282741,3,ZKP,4,333.36,100.0
1786387360.2985396,3,ZKP,5,333.84,100.0
1786387360.6434057,3,ZKP,6,333.81,100.0
1786387360.9849796,3,ZKP,7,333.64,100.0
1786387361.3264341,3,ZKP,8,333.42,100.0
1786387361.6671884,3,ZKP,9,333.7,100.0
