Nodes,PayloadSize,ServiceRate,ArrivalRate,TrafficIntensity,AvgDelayMs,DropRate,EWJammingRate,SystemCrash
15,64,103.63,100,0.9649715333397665,142.56590449865482,30.0,0.3,0
20,64,103.63,100,0.9649715333397665,142.56590449865482,0.0,0.0,0
20,64,103.63,100,0.9649715333397665,142.56590449865482,10.0,0.1,0
20,64,103.63,100,0.9649715333397665,142.56590449865482,20.0,0.2,0
20,64,103.63,100,0.9649715333397665,142.56590449865482,30.0,0.3,0
25,64,103.63,100,0.9649715333397665,142.56590449865482,0.0,0.0,0
25,64,103.63,100,0.9649715333397665,142.56590449865482,10.0,0.1,0
25,64,103.63,100,0.9649715333397665,142.56590449865482,20.0,0.2,0
25,64,103.63,100,0.9649715333397665,142.56590449865482,30.0,0.3,0
30,64,103.63,100,0.9649715333397665,142.56590449865482,0.0,0.0,0
30,64,103.63,100,0.9649715333397665,142.56590449865482,10.0,0.1,0
30,64,103.63,100,0.9649715333397665,142.56590449865482,20.0,0.2,0
30,64,103.63,100,0.9649715333397665,142.56590449865482,30.0,0.3,0
50,64,103.63,100,0.9649715333397665,142.56590449865482,0.0,0.0,0
50,64,103.63,100,0.9649715333397665,142.56590449865482,10.0,0.1,0
50,64,103.63,100,0.9649715333397665,142.56590449865482,20.0,0.2,0
50,64,103.63,100,0.9649715333397665,142.56590449865482,30.0,0.3,0
100,64,103.63,100,0.9649715333397665,142.56590449865482,0.0,0.0,0
100,64,103.63,100,0.9649715333397665,142.56590449865482,10.0,0.1,0
100,64,103.63,100,0.9649715333397665,142.56590449865482,20.0,0.2,0
100,64,103.63,100,0.9649715333397665,142.56590449865482,30.0,0.3,0
3,64,103.63,150,1.4474573000096498,0.0,100.0,0.0,1
3,64,103.63,150,1.4474573000096498,0.0,100.0,0.1,1
3,64,103.63,150,1.4474573000096498,0.0,100.0,0.2,1
3,64,103.63,150,1.4474573000096498,0.0,100.0,0.3,1
5,64,103.63,150,1.4474573000096498,0.0,100.0,0.0,1
5,64,103.63,150,1.4474573000096498,0.0,100.0,0.1,1
5,64,103.63,150,1.4474573000096498,0.0,100.0,0.2,1
5,64,103.63,150,1.4474573000096498,0.0,100.0,0.3,1
10,64,103.63,150,1.4474573000096498,0.0,100.0,0.0,1
10,64,103.63,150,1.4474573000096498,0.0,100.0,0.1,1
10,64,103.63,150,1.4474573000096498,0.0,100.0,0.2,1
10,64,103.63,150,1.4474573000096498,0.0,100.0,0.3,1
15,64,103.63,150,1.4474573000096498,0.0,100.0,0.0,1
15,64,103.63,150,1.4474573000096498,0.0,100.0,0.1,1
15,64,103.63,150,1.4474573000096498,0.0,100.0,0.2,1
15,64,103.63,150,1.4474573000096498,0.0,100.0,0.3,1
20,64,103.63,150,1.4474573000096498,0.0,100.0,0.0,1
20,64,103.63,150,1.4474573000096498,0.0,100.0,0.1,1
20,64,103.63,150,1.4474573000096498,0.0,100.0,0.2,1
20,64,103.63,150,1.4474573000096498,0.0,100.0,0.3,1
25,64,103.63,150,1.4474573000096498,0.0,100.0,0.0,1
25,64,103.63,150,1.4474573000096498,0.0,100.0,0.1,1
25,64,103.63,150,1.4474573000096498,0.0,100.0,0.2,1
25,64,103.63,150,1.4474573000096498,0.0,100.0,0.3,1
30,64,103.63,150,1.4474573000096498,0.0,100.0,0.0,1
30,64,103.63,150,1.4474573000096498,0.0,100.0,0.1,1
30,64,103.63,150,1.4474573000096498,0.0,100.0,0.2,1
30,64,103.63,150,1.4474573000096498,0.0,100.0,0.3,1
50,64,103.63,150,1.4474573000096498,0.0,100.0,0.0,1
50,64,103.63,150,1.4474573000096498,0.0,100.0,0.1,1
50,64,103.63,150,1.4474573000096498,0.0,100.0,0.2,1
50,64,103.63,150,1.4474573000096498,0.0,100.0,0.3,1
100,64,103.63,150,1.4474573000096498,0.0,100.0,0.0,1
100,64,103.63,150,1.4474573000096498,0.0,100.0,0.1,1
100,64,103.63,150,1.4474573000096498,0.0,100.0,0.2,1
100,64,103.63,150,1.4474573000096498,0.0,100.0,0.3,1
